id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
127,2010,Jaipur,2010-04-03,Punjab Kings,Chennai Super Kings,Punjab Kings,field,normal,0,Chennai Super Kings,0,6,AB de Villiers,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
128,2010,Delhi,2010-04-04,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,MS Dhoni,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
129,2010,Ahmedabad,2010-04-05,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Punjab Kings,0,3,CH Gayle,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
130,2010,Bangalore,2010-04-06,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,0,8,DA Warner,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
131,2010,Jaipur,2010-04-07,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,normal,0,Punjab Kings,0,4,DJ Bravo,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
132,2010,Delhi,2010-04-08,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,normal,0,Mumbai Indians,0,3,RG Sharma,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
133,2010,Hyderabad,2010-04-09,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,normal,0,Delhi Capitals,6,0,SP Narine,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
134,2010,Hyderabad,2010-04-10,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,7,DA Warner,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
135,2010,Mohali,2010-04-11,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,61,0,Z Khan,"PCA Stadium, Mohali",Umpire A,Umpire B
136,2010,Chennai,2010-04-12,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,normal,0,Chennai Super Kings,18,0,AT Rayudu,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
137,2010,Lucknow,2010-04-13,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,KL Rahul,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
138,2010,Jaipur,2010-04-14,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,normal,0,Punjab Kings,89,0,CH Gayle,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
139,2010,Delhi,2010-04-15,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,normal,0,Delhi Capitals,0,6,AM Rahane,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
140,2010,Mumbai,2010-04-16,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,7,DA Warner,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
141,2010,Mumbai,2010-04-17,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,normal,0,Rajasthan Royals,69,0,MS Dhoni,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
142,2010,Chennai,2010-04-18,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,normal,0,Delhi Capitals,18,0,JJ Bumrah,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
143,2010,Lucknow,2010-04-19,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,3,B Kumar,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
144,2010,Lucknow,2010-04-20,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,no result,0,,0,0,,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
145,2010,Lucknow,2010-04-21,Mumbai Indians,Punjab Kings,Mumbai Indians,field,normal,0,Mumbai Indians,0,7,A Mishra,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
146,2010,Bangalore,2010-04-22,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,76,0,SK Raina,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
147,2010,Kolkata,2010-04-23,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Rajasthan Royals,0,2,SL Malinga,"Eden Gardens, Kolkata",Umpire A,Umpire B
148,2010,Chennai,2010-04-24,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,normal,0,Sunrisers Hyderabad,6,0,V Kohli,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
149,2010,Chennai,2010-04-25,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,JC Archer,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
150,2010,Mumbai,2010-04-26,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,0,2,T Natarajan,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
151,2010,Lucknow,2010-04-27,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Mumbai Indians,0,4,B Kumar,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
152,2010,Delhi,2010-04-28,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Punjab Kings,34,0,B Kumar,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
153,2010,Jaipur,2010-04-29,Punjab Kings,Delhi Capitals,Punjab Kings,bat,normal,0,Delhi Capitals,72,0,Harbhajan Singh,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
154,2010,Kolkata,2010-04-30,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,39,0,SK Raina,"Eden Gardens, Kolkata",Umpire A,Umpire B
155,2010,Delhi,2010-05-01,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,0,Royal Challengers Bangalore,13,0,RA Jadeja,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
156,2010,Lucknow,2010-05-02,Punjab Kings,Chennai Super Kings,Punjab Kings,field,normal,0,Chennai Super Kings,14,0,SK Raina,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
157,2010,Jaipur,2010-05-03,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,SR Watson,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
158,2010,Mumbai,2010-05-04,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,69,0,Z Khan,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
159,2010,Mumbai,2010-05-05,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Royal Challengers Bangalore,34,0,SR Watson,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
160,2010,Chennai,2010-05-06,Chennai Super Kings,Punjab Kings,Punjab Kings,field,normal,0,Chennai Super Kings,50,0,DJ Bravo,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
161,2010,Ahmedabad,2010-05-07,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,no result,0,,0,0,,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
162,2010,Jaipur,2010-05-08,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,24,0,SP Narine,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
163,2010,Chennai,2010-05-09,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,5,SR Watson,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
164,2010,Mohali,2010-05-10,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,normal,0,Sunrisers Hyderabad,0,2,V Kohli,"PCA Stadium, Mohali",Umpire A,Umpire B
165,2010,Delhi,2010-05-11,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Mumbai Indians,0,6,PP Chawla,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
166,2010,Kolkata,2010-05-12,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,8,V Kohli,"Eden Gardens, Kolkata",Umpire A,Umpire B
167,2010,Bangalore,2010-05-13,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,89,0,AM Rahane,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
168,2010,Mumbai,2010-05-14,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,normal,0,Rajasthan Royals,86,0,CH Gayle,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
169,2011,Mohali,2011-03-20,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,normal,0,Punjab Kings,7,0,R Ashwin,"PCA Stadium, Mohali",Umpire A,Umpire B
170,2011,Mohali,2011-03-21,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,normal,0,Delhi Capitals,45,0,SL Malinga,"PCA Stadium, Mohali",Umpire A,Umpire B
171,2011,Mumbai,2011-03-22,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,9,SR Watson,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
172,2011,Kolkata,2011-03-23,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,0,2,KL Rahul,"Eden Gardens, Kolkata",Umpire A,Umpire B
173,2011,Chennai,2011-03-24,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,normal,0,Rajasthan Royals,0,8,Z Khan,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
174,2011,Ahmedabad,2011-03-25,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,normal,0,Chennai Super Kings,0,3,MM Sharma,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
175,2011,Delhi,2011-03-26,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Capitals,0,2,SS Iyer,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
176,2011,Chennai,2011-03-27,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,Z Khan,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
177,2011,Kolkata,2011-03-28,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,41,0,V Kohli,"Eden Gardens, Kolkata",Umpire A,Umpire B
178,2011,Kolkata,2011-03-29,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,normal,0,Rajasthan Royals,25,0,A Nehra,"Eden Gardens, Kolkata",Umpire A,Umpire B
179,2011,Kolkata,2011-03-30,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Rajasthan Royals,0,3,RG Sharma,"Eden Gardens, Kolkata",Umpire A,Umpire B
180,2011,Mumbai,2011-03-31,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,0,4,R Ashwin,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
181,2011,Bangalore,2011-04-01,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,69,0,A Mishra,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
182,2011,Bangalore,2011-04-02,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Chennai Super Kings,0,6,SL Malinga,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
183,2011,Chennai,2011-04-03,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,50,0,SR Watson,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
184,2011,Kolkata,2011-04-04,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,41,0,HV Patel,"Eden Gardens, Kolkata",Umpire A,Umpire B
185,2011,Mumbai,2011-04-05,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,normal,0,Rajasthan Royals,62,0,T Natarajan,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
186,2011,Hyderabad,2011-04-06,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,0,5,AB de Villiers,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
187,2011,Lucknow,2011-04-07,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,RG Sharma,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
188,2011,Mumbai,2011-04-08,Delhi Capitals,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,8,JP Duminy,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
189,2011,Lucknow,2011-04-09,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,CH Gayle,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
190,2011,Mohali,2011-04-10,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,normal,0,Royal Challengers Bangalore,0,9,B Kumar,"PCA Stadium, Mohali",Umpire A,Umpire B
191,2011,Lucknow,2011-04-11,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Rajasthan Royals,31,0,R Ashwin,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
192,2011,Hyderabad,2011-04-12,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Chennai Super Kings,0,5,HV Patel,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
193,2011,Chennai,2011-04-13,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,normal,0,Royal Challengers Bangalore,2,0,CH Gayle,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
194,2011,Mumbai,2011-04-14,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Mumbai Indians,0,5,Mohammed Shami,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
195,2011,Kolkata,2011-04-15,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,0,4,F du Plessis,"Eden Gardens, Kolkata",Umpire A,Umpire B
196,2011,Mumbai,2011-04-16,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,normal,0,Delhi Capitals,65,0,SK Raina,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
197,2011,Delhi,2011-04-17,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,15,0,DJ Bravo,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
198,2011,Bangalore,2011-04-18,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,normal,0,Delhi Capitals,0,8,SS Iyer,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
199,2011,Ahmedabad,2011-04-19,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,no result,0,,0,0,,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
200,2011,Mumbai,2011-04-20,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,0,2,K Rabada,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
201,2011,Delhi,2011-04-21,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,normal,0,Sunrisers Hyderabad,0,4,SR Watson,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
202,2011,Ahmedabad,2011-04-22,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,69,0,JJ Bumrah,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
203,2011,Jaipur,2011-04-23,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,84,0,T Natarajan,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
204,2011,Jaipur,2011-04-24,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,normal,0,Rajasthan Royals,34,0,Harbhajan Singh,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
205,2011,Chennai,2011-04-25,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,0,Punjab Kings,79,0,YS Chahal,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
206,2011,Kolkata,2011-04-26,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,no result,0,,0,0,,"Eden Gardens, Kolkata",Umpire A,Umpire B
207,2011,Hyderabad,2011-04-27,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,52,0,YS Chahal,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
208,2011,Ahmedabad,2011-04-28,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,normal,0,Sunrisers Hyderabad,60,0,HV Patel,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
209,2011,Lucknow,2011-04-29,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,77,0,R Ashwin,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
210,2011,Lucknow,2011-04-30,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,3,SL Malinga,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
211,2011,Kolkata,2011-05-01,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,74,0,B Kumar,"Eden Gardens, Kolkata",Umpire A,Umpire B
212,2011,Delhi,2011-05-02,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,normal,0,Rajasthan Royals,18,0,V Kohli,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
213,2011,Kolkata,2011-05-03,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,no result,0,,0,0,,"Eden Gardens, Kolkata",Umpire A,Umpire B
214,2011,Ahmedabad,2011-05-04,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Punjab Kings,50,0,R Ashwin,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
215,2011,Hyderabad,2011-05-05,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,5,UT Yadav,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
216,2011,Ahmedabad,2011-05-06,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Delhi Capitals,0,2,AM Rahane,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
217,2011,Kolkata,2011-05-07,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,68,0,SP Narine,"Eden Gardens, Kolkata",Umpire A,Umpire B
218,2011,Bangalore,2011-05-08,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,normal,0,Punjab Kings,0,3,PP Chawla,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
219,2011,Hyderabad,2011-05-09,Chennai Super Kings,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,1,Mohammed Shami,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
220,2011,Chennai,2011-05-10,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,82,0,Q de Kock,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
221,2011,Mohali,2011-05-11,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Rajasthan Royals,0,3,K Rabada,"PCA Stadium, Mohali",Umpire A,Umpire B
222,2011,Mohali,2011-05-12,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,2,AT Rayudu,"PCA Stadium, Mohali",Umpire A,Umpire B
223,2011,Chennai,2011-05-13,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,normal,0,Punjab Kings,0,7,DA Warner,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
224,2011,Mumbai,2011-05-14,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,normal,0,Punjab Kings,0,2,A Mishra,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
225,2012,Bangalore,2012-03-20,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,normal,0,Royal Challengers Bangalore,79,0,MM Sharma,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
226,2012,Ahmedabad,2012-03-21,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,79,0,Harbhajan Singh,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
227,2012,Delhi,2012-03-22,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,normal,0,Kolkata Knight Riders,0,2,RA Jadeja,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
228,2012,Chennai,2012-03-23,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,0,9,KL Rahul,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
229,2012,Mumbai,2012-03-24,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,12,0,JJ Bumrah,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
230,2012,Hyderabad,2012-03-25,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,68,0,T Natarajan,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
231,2012,Kolkata,2012-03-26,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,0,3,RG Sharma,"Eden Gardens, Kolkata",Umpire A,Umpire B
232,2012,Chennai,2012-03-27,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,normal,0,Mumbai Indians,0,2,AB de Villiers,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
233,2012,Jaipur,2012-03-28,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,5,RR Pant,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
234,2012,Mumbai,2012-03-29,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,normal,0,Chennai Super Kings,0,4,Harbhajan Singh,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
235,2012,Chennai,2012-03-30,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,59,0,DJ Bravo,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
236,2012,Ahmedabad,2012-03-31,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,1,0,AB de Villiers,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
237,2012,Delhi,2012-04-01,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,30,0,RG Sharma,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
238,2012,Bangalore,2012-04-02,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,normal,0,Delhi Capitals,0,8,Harbhajan Singh,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
239,2012,Bangalore,2012-04-03,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,normal,0,Kolkata Knight Riders,90,0,SK Raina,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
240,2012,Chennai,2012-04-04,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,normal,0,Delhi Capitals,0,5,UT Yadav,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
241,2012,Bangalore,2012-04-05,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,normal,0,Sunrisers Hyderabad,0,1,SS Iyer,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
242,2012,Lucknow,2012-04-06,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,normal,0,Punjab Kings,86,0,A Mishra,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
243,2012,Lucknow,2012-04-07,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,0,3,A Mishra,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
244,2012,Mumbai,2012-04-08,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Punjab Kings,0,5,Harbhajan Singh,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
245,2012,Mohali,2012-04-09,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,normal,0,Punjab Kings,0,2,SL Malinga,"PCA Stadium, Mohali",Umpire A,Umpire B
246,2012,Kolkata,2012-04-10,Punjab Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Punjab Kings,81,0,JJ Bumrah,"Eden Gardens, Kolkata",Umpire A,Umpire B
247,2012,Lucknow,2012-04-11,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,0,5,Mohammed Shami,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
248,2012,Mumbai,2012-04-12,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,normal,0,Rajasthan Royals,0,9,KL Rahul,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
249,2012,Lucknow,2012-04-13,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,normal,0,Mumbai Indians,0,6,Z Khan,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
250,2012,Hyderabad,2012-04-14,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,52,0,RG Sharma,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
251,2012,Delhi,2012-04-15,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,8,0,MM Sharma,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
252,2012,Mohali,2012-04-16,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,normal,0,Delhi Capitals,0,7,V Kohli,"PCA Stadium, Mohali",Umpire A,Umpire B
253,2012,Jaipur,2012-04-17,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,0,3,SR Watson,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
